,C00399,C00527,C01352,C01432,C21175,C00143,C00003,C00011,C00138,C00016,C00390,C00080,C00139,C00323,C00004,C04570,C00136,C00877,C00022,C00440,C04253
C00399,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
C00527,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
C01352,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
C01432,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
C21175,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
C00143,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
C00003,0,0,0,1,1,1,0,0,3,0,0,1,3,1,4,0,1,1,1,1,0
C00011,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
C00138,0,0,0,1,1,0,3,0,0,0,0,0,3,1,3,0,1,1,1,0,0
C00016,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
C00390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
C00080,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C00139,0,0,0,1,1,0,3,0,3,0,0,0,0,1,3,0,1,1,1,0,0
C00323,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
C00004,0,0,0,1,1,1,4,0,3,0,0,1,3,1,0,0,1,1,1,1,0
C04570,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
C00136,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
C00877,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
C00022,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
C00440,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C04253,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
